path,label,reproject_k1024_early__raw,reproject_k1024_early__norm,reproject_k256_early__raw,reproject_k256_early__norm,solution_a_reproject_k1_1__raw,solution_a_reproject_k1_1__norm,ensemble_score
data\BraTS2021_slice\test\good\img\00000_96.png,0,0.427116334438324,-0.3957851953219754,0.4030368328094482,-0.8326471567974906,0.59159255027771,-0.19868335293436093,-0.47570523501794226
data\BraTS2021_slice\test\good\img\00000_97.png,0,0.3935606777667999,-0.7691798004157626,0.3710634708404541,-1.1654013186747747,0.5844196081161499,-0.2652385430772332,-0.7332732207225902
data\BraTS2021_slice\test\good\img\00000_98.png,0,0.3805976212024688,-0.913427771302723,0.3640139102935791,-1.2387677232978904,0.617652177810669,0.04311470237454951,-0.7030269307420213
data\BraTS2021_slice\test\good\img\00000_99.png,0,0.4010323882102966,-0.6860374438904583,0.4660885035991668,-0.1764538578587948,0.6412764191627502,0.2623156717612747,-0.20005854332932616
data\BraTS2021_slice\test\good\img\00011_60.png,0,0.4402439594268799,-0.24970596950307167,0.4402441084384918,-0.44542244675024023,0.5324957370758057,-0.7470217545136516,-0.4807167235889878
data\BraTS2021_slice\test\good\img\00011_61.png,0,0.4763888716697693,0.15250088835098738,0.5054208636283875,0.2328870963039515,0.5645598769187927,-0.4495099558748746,-0.021373990406645227
data\BraTS2021_slice\test\good\img\00011_62.png,0,0.4428325891494751,-0.22090068095025553,0.4705519080162048,-0.13000217732075467,0.5363240838050842,-0.7114998809559033,-0.3541342464089712
data\BraTS2021_slice\test\good\img\00011_63.png,0,0.4829623699188232,0.22564828066154002,0.4899676740169525,0.07206218328822578,0.5399943590164185,-0.677444697034848,-0.1265780776950274
data\BraTS2021_slice\test\good\img\00018_60.png,0,0.5250072479248047,0.6935077170880267,0.525007426738739,0.4367289818761309,0.7415375113487244,1.1926028404115028,0.7742798464585534
data\BraTS2021_slice\test\good\img\00018_61.png,0,0.5457667708396912,0.9245118049119888,0.5457670092582703,0.652778751334462,0.7232388854026794,1.022816370402181,0.8667023088828772
data\BraTS2021_slice\test\good\img\00018_62.png,0,0.5316468477249146,0.767390662357481,0.5639021396636963,0.8415152415554382,0.6519238352775574,0.3611092752910635,0.6566717264013275
data\BraTS2021_slice\test\good\img\00018_63.png,0,0.5634000897407532,1.1207286816075452,0.5634000301361084,0.8362896717456344,0.6512939929962158,0.3552651918103192,0.7707611817211663
data\BraTS2021_slice\test\good\img\00020_94.png,0,0.4313727915287018,-0.3484209571573558,0.4232533276081085,-0.622249426669884,0.6321974992752075,0.17807558926827838,-0.26419826485298714
data\BraTS2021_slice\test\good\img\00020_95.png,0,0.4635239243507385,0.009344639889952875,0.4801490008831024,-0.030123015521009284,0.6508751511573792,0.3513789067133957,0.11020017702744644
data\BraTS2021_slice\test\good\img\00020_96.png,0,0.4563007354736328,-0.071032263017554,0.4534357786178589,-0.3081336887349394,0.6354742050170898,0.20847898145815608,-0.056895656764779104
data\BraTS2021_slice\test\good\img\00020_97.png,0,0.3987093865871429,-0.7118869238216852,0.4581621885299682,-0.2589448492717147,0.6158369779586792,0.02627210576978116,-0.3148532224412062
data\BraTS2021_slice\test\good\img\00020_98.png,0,0.3390074372291565,-1.3762275451981203,0.4300881326198578,-0.551118032496047,0.5829629302024841,-0.27875454158067886,-0.7353667064249486
data\BraTS2021_slice\test\good\img\00020_99.png,0,0.3473411500453949,-1.2834931536037197,0.4328037798404693,-0.522855664724861,0.5460206270217896,-0.6215290903122993,-0.8092926362136266
data\BraTS2021_slice\test\good\img\00021_96.png,0,0.3668787777423858,-1.0660858517648546,0.3753952383995056,-1.120319613317759,0.5976304411888123,-0.1426599013855848,-0.7763551221560661
data\BraTS2021_slice\test\good\img\00021_97.png,0,0.3793288469314575,-0.9275462095891492,0.4109050035476684,-0.7507612868648014,0.5574811100959778,-0.5151913264001092,-0.7311662742846866
data\BraTS2021_slice\test\good\img\00021_98.png,0,0.3898177444934845,-0.8108297405484506,0.4036603569984436,-0.8261579965671529,0.5064688920974731,-0.9885156321075617,-0.875167789741055
data\BraTS2021_slice\test\good\img\00021_99.png,0,0.4066667556762695,-0.6233403423106942,0.4066666960716247,-0.794870331554465,0.5095357894897461,-0.9600589772936866,-0.7927565503862819
data\BraTS2021_slice\test\good\img\00026_95.png,0,0.3678269982337951,-1.0555344142114933,0.420412927865982,-0.6518101227425811,0.5925628542900085,-0.18968024562073962,-0.6323415941916046
data\BraTS2021_slice\test\good\img\00026_96.png,0,0.3546854853630066,-1.2017681791101296,0.4264626502990722,-0.588849264270291,0.5973397493362427,-0.1453571281420521,-0.6453248571741574
data\BraTS2021_slice\test\good\img\00026_97.png,0,0.4133159518241882,-0.5493506125269179,0.47868412733078,-0.04536829287507509,0.6140026450157166,0.009251979989530756,-0.19515564180415407
data\BraTS2021_slice\test\good\img\00026_98.png,0,0.3297554552555084,-1.479180087274784,0.3666971027851105,-1.2108431193872735,0.5621128678321838,-0.47221488662328726,-1.0540793644284483
data\BraTS2021_slice\test\good\img\00026_99.png,0,0.3216672837734222,-1.5691821881440338,0.3170810639858246,-1.727208693402842,0.5876544713973999,-0.23522339226177424,-1.1772047579362166
data\BraTS2021_slice\test\good\img\00028_98.png,0,0.3598975539207458,-1.1437702594183858,0.3921045064926147,-0.9464224014669317,0.5487063527107239,-0.5966091927482927,-0.8956006178778702
