path,label,image_score,anchor_score,reconstruction_score,bottleneck_divergence,pixel_aggregated_score,patch_divergence_aggregated
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00000_96.png,0,0.7305680513381958,0.7305680513381958,1.00535249710083,0.18100351095199585,7.063497066497803,0.06757618486881256
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00000_97.png,0,0.739477813243866,0.739477813243866,1.005353331565857,0.1699378490447998,7.082889080047607,0.0692811906337738
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00000_98.png,0,0.7574214935302734,0.7574214935302734,1.0053727626800537,0.166176438331604,7.109094619750977,0.0714622288942337
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00000_99.png,0,0.7300664782524109,0.7300664782524109,1.0053776502609253,0.14946866035461426,7.1529011726379395,0.07447820901870728
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00011_60.png,0,0.7587905526161194,0.7587905526161194,1.0054032802581787,0.14614248275756836,6.325124740600586,0.06074267625808716
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00011_61.png,0,0.7800720930099487,0.7800720930099487,1.005400538444519,0.12872391939163208,6.315463542938232,0.058951813727617264
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00011_62.png,0,0.727966845035553,0.727966845035553,1.0053941011428833,0.1260157823562622,6.2418975830078125,0.0539826899766922
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00011_63.png,0,0.7496185898780823,0.7496185898780823,1.0053908824920654,0.13276535272598267,5.993226051330566,0.061480339616537094
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00018_60.png,0,0.819747805595398,0.819747805595398,1.0053884983062744,0.14520597457885742,6.397564888000488,0.05146537348628044
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00018_61.png,0,0.7729151844978333,0.7729151844978333,1.0053998231887817,0.14519894123077393,6.3179545402526855,0.05437622219324112
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00018_62.png,0,0.7405960559844971,0.7405960559844971,1.0054001808166504,0.13376224040985107,6.192138671875,0.055240146815776825
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00018_63.png,0,0.734447717666626,0.734447717666626,1.0053938627243042,0.14201563596725464,6.157508850097656,0.05983257293701172
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00020_94.png,0,0.8019612431526184,0.8019612431526184,1.0053683519363403,0.12895578145980835,6.291708946228027,0.06312460452318192
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00020_95.png,0,0.83976149559021,0.83976149559021,1.005385398864746,0.11705553531646729,6.2516655921936035,0.06125219911336899
