path,label,image_score,anchor_score,reconstruction_score,bottleneck_divergence,pixel_aggregated_score,patch_divergence_aggregated
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00000_96.png,0,1.1324125528335571,1.1324125528335571,1.001961588859558,0.009139180183410645,7.022732257843018,0.0035144537687301636
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00000_97.png,0,1.1701546907424927,1.1701546907424927,1.0019608736038208,0.007820308208465576,7.041576862335205,0.003538204589858651
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00000_98.png,0,1.1793500185012817,1.1793500185012817,1.0019620656967163,0.007641196250915527,7.0670342445373535,0.003463474102318287
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00000_99.png,0,1.1719101667404175,1.1719101667404175,1.001960039138794,0.007494091987609863,7.110213279724121,0.0037818641867488623
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00011_60.png,0,1.205622911453247,1.205622911453247,1.0019608736038208,0.006812453269958496,6.285335540771484,0.0032835013698786497
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00011_61.png,0,1.2159429788589478,1.2159429788589478,1.0019590854644775,0.006451129913330078,6.275541305541992,0.0031456127762794495
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00011_62.png,0,1.1675631999969482,1.1675631999969482,1.0019593238830566,0.006497740745544434,6.201857089996338,0.00299681699834764
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00011_63.png,0,1.1600273847579956,1.1600273847579956,1.0019596815109253,0.006580352783203125,5.95400333404541,0.0033360852394253016
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00018_60.png,0,1.209514856338501,1.209514856338501,1.0019625425338745,0.007433414459228516,6.35800313949585,0.0026167831383645535
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00018_61.png,0,1.1818969249725342,1.1818969249725342,1.0019623041152954,0.007971465587615967,6.278567790985107,0.0029260218143463135
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00018_62.png,0,1.1395937204360962,1.1395937204360962,1.0019603967666626,0.0067369937896728516,6.153191566467285,0.003065686207264662
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00018_63.png,0,1.1406697034835815,1.1406697034835815,1.0019612312316895,0.0075601935386657715,6.118383407592773,0.0033964707981795073
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00020_94.png,0,1.2514265775680542,1.2514265775680542,1.0019599199295044,0.006271839141845703,6.252383232116699,0.0029997986275702715
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00020_95.png,0,1.273735523223877,1.273735523223877,1.0019614696502686,0.005612730979919434,6.2122063636779785,0.002890355419367552
