path,label,image_score,anchor_score
data\BraTS2021_slice\test\good\img\00000_96.png,0,0.017591683194041252,0.017591683194041252
data\BraTS2021_slice\test\good\img\00000_97.png,0,0.02009085938334465,0.02009085938334465
data\BraTS2021_slice\test\good\img\00000_98.png,0,0.016442829743027687,0.016442829743027687
data\BraTS2021_slice\test\good\img\00000_99.png,0,0.01621284894645214,0.01621284894645214
data\BraTS2021_slice\test\good\img\00011_60.png,0,0.018367424607276917,0.018367424607276917
data\BraTS2021_slice\test\good\img\00011_61.png,0,0.016533205285668373,0.016533205285668373
data\BraTS2021_slice\test\good\img\00011_62.png,0,0.01681560091674328,0.01681560091674328
data\BraTS2021_slice\test\good\img\00011_63.png,0,0.017598457634449005,0.017598457634449005
data\BraTS2021_slice\test\good\img\00018_60.png,0,0.020167848095297813,0.020167848095297813
data\BraTS2021_slice\test\good\img\00018_61.png,0,0.019549552351236343,0.019549552351236343
data\BraTS2021_slice\test\good\img\00018_62.png,0,0.020170804113149643,0.020170804113149643
data\BraTS2021_slice\test\good\img\00018_63.png,0,0.021608859300613403,0.021608859300613403
data\BraTS2021_slice\test\good\img\00020_94.png,0,0.014029060490429401,0.014029060490429401
data\BraTS2021_slice\test\good\img\00020_95.png,0,0.012886370532214642,0.012886370532214642
data\BraTS2021_slice\test\good\img\00020_96.png,0,0.01310196053236723,0.01310196053236723
data\BraTS2021_slice\test\good\img\00020_97.png,0,0.017363188788294792,0.017363188788294792
data\BraTS2021_slice\test\good\img\00020_98.png,0,0.01691455952823162,0.01691455952823162
data\BraTS2021_slice\test\good\img\00020_99.png,0,0.015367290005087852,0.015367290005087852
data\BraTS2021_slice\test\good\img\00021_96.png,0,0.01630450040102005,0.01630450040102005
data\BraTS2021_slice\test\good\img\00021_97.png,0,0.017923979088664055,0.017923979088664055
data\BraTS2021_slice\test\good\img\00021_98.png,0,0.016421066597104073,0.016421066597104073
data\BraTS2021_slice\test\good\img\00021_99.png,0,0.017595071345567703,0.017595071345567703
data\BraTS2021_slice\test\good\img\00026_95.png,0,0.016765903681516647,0.016765903681516647
data\BraTS2021_slice\test\good\img\00026_96.png,0,0.018151983618736267,0.018151983618736267
data\BraTS2021_slice\test\good\img\00026_97.png,0,0.017591683194041252,0.017591683194041252
data\BraTS2021_slice\test\good\img\00026_98.png,0,0.01936267502605915,0.01936267502605915
data\BraTS2021_slice\test\good\img\00026_99.png,0,0.017591683194041252,0.017591683194041252
