path,label,image_score,anchor_score,reconstruction_score,bottleneck_divergence,patch_divergence_aggregated
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00000_96.png,0,1.2170603275299072,1.2170603275299072,1.0024354457855225,0.00480341911315918,0.0023696529679000378
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00000_97.png,0,1.2079689502716064,1.2079689502716064,1.0024378299713135,0.004484772682189941,0.00224167387932539
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00000_98.png,0,1.2210320234298706,1.2210320234298706,1.0024423599243164,0.004285991191864014,0.0022004996426403522
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00000_99.png,0,1.2078676223754883,1.2078676223754883,1.0024449825286865,0.003919661045074463,0.0023487284779548645
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00011_60.png,0,1.1619819402694702,1.1619819402694702,1.0024350881576538,0.003396332263946533,0.002051473595201969
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00011_61.png,0,1.1293864250183105,1.1293864250183105,1.0024340152740479,0.003316044807434082,0.002076846780255437
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00011_62.png,0,1.1643271446228027,1.1643271446228027,1.0024336576461792,0.0032089948654174805,0.0020581495482474566
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00011_63.png,0,1.1631855964660645,1.1631855964660645,1.002431869506836,0.003015756607055664,0.0020835038740187883
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00018_60.png,0,1.2506647109985352,1.2506647109985352,1.002436637878418,0.0036818385124206543,0.0016683540306985378
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00018_61.png,0,1.2205723524093628,1.2205723524093628,1.002435564994812,0.0034236907958984375,0.0018649161793291569
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00018_62.png,0,1.1870657205581665,1.1870657205581665,1.0024363994598389,0.0034786462783813477,0.0020726758521050215
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00018_63.png,0,1.2069474458694458,1.2069474458694458,1.0024343729019165,0.004010438919067383,0.0020705873612314463
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00020_94.png,0,1.172447681427002,1.172447681427002,1.0024319887161255,0.002997875213623047,0.001791978720575571
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00020_95.png,0,1.182945966720581,1.182945966720581,1.0024347305297852,0.002794325351715088,0.0016460585175082088
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00020_96.png,0,1.1719099283218384,1.1719099283218384,1.002432942390442,0.002932906150817871,0.0018966718344017863
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00020_97.png,0,1.1735533475875854,1.1735533475875854,1.0024367570877075,0.003535151481628418,0.0021295929327607155
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00020_98.png,0,1.1529979705810547,1.1529979705810547,1.0024381875991821,0.0029605627059936523,0.002269755583256483
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00020_99.png,0,1.0927624702453613,1.0927624702453613,1.0024352073669434,0.0031508803367614746,0.0025352577213197947
