path,label,image_score,anchor_score,reconstruction_score,bottleneck_divergence,pixel_aggregated_score,patch_divergence_aggregated,fused_score
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00000_96.png,0,1.187003254890442,1.187003254890442,1.0052815675735474,0.005977272987365723,6.626806735992432,0.006985804997384548,0.4354909164050903
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00000_97.png,0,1.1800851821899414,1.1800851821899414,1.0052919387817383,0.005627691745758057,6.645659923553467,0.006635257508605719,0.4174340028377724
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00000_98.png,0,1.1926770210266113,1.1926770210266113,1.0052969455718994,0.005137026309967041,6.669795989990234,0.006319713778793812,0.4170070666701087
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00000_99.png,0,1.1802712678909302,1.1802712678909302,1.005310297012329,0.0049092769622802734,6.71221923828125,0.006653449963778257,0.3971421480230644
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00011_60.png,0,1.132491111755371,1.132491111755371,1.0052804946899414,0.007764637470245361,5.912464141845703,0.007636080961674452,0.41189626645466115
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00011_61.png,0,1.0967462062835693,1.0967462062835693,1.0052906274795532,0.008554220199584961,5.902820110321045,0.008196068927645683,0.39596677002406977
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00011_62.png,0,1.1540476083755493,1.1540476083755493,1.0052818059921265,0.008222639560699463,5.832252502441406,0.007988777942955494,0.44817260381076807
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00011_63.png,0,1.149226188659668,1.149226188659668,1.005276083946228,0.008058905601501465,5.590950012207031,0.008180268108844757,0.4317671048377214
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00018_60.png,0,1.2622488737106323,1.2622488737106323,1.0053019523620605,0.009562373161315918,5.982051849365234,0.006251093465834856,0.6143367920972552
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00018_61.png,0,1.2409617900848389,1.2409617900848389,1.0053108930587769,0.008955657482147217,5.904956817626953,0.006778225768357515,0.5698933336505426
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00018_62.png,0,1.2204945087432861,1.2204945087432861,1.0053085088729858,0.008459329605102539,5.78447151184082,0.006834270898252726,0.528698871480126
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00018_63.png,0,1.199845790863037,1.199845790863037,1.005295991897583,0.00782632827758789,5.750522136688232,0.007421994581818581,0.4852256282409246
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00020_94.png,0,1.1580759286880493,1.1580759286880493,1.0052686929702759,0.005940616130828857,5.8792901039123535,0.005598879884928465,0.3835055132884816
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00020_95.png,0,1.169706106185913,1.169706106185913,1.0052753686904907,0.006800711154937744,5.840217590332031,0.006074192933738232,0.42207574358280275
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00020_96.png,0,1.1478644609451294,1.1478644609451294,1.005273461341858,0.0061879754066467285,5.910149097442627,0.006568519398570061,0.3804567680918049
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00020_97.png,0,1.1473121643066406,1.1473121643066406,1.005294919013977,0.005930900573730469,5.9850873947143555,0.0072974711656570435,0.37376506674260956
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00020_98.png,0,1.120320439338684,1.120320439338684,1.0052741765975952,0.004788339138031006,5.97711181640625,0.0072990828193724155,0.3081236496163141
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00020_99.png,0,1.0599119663238525,1.0599119663238525,1.0053013563156128,0.0057489871978759766,5.929561614990234,0.008256576023995876,0.2689112793701188
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00021_96.png,0,1.1092915534973145,1.1092915534973145,1.0052783489227295,0.008103013038635254,5.5158538818359375,0.007766749709844589,0.3865511439843677
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00021_97.png,0,1.0581685304641724,1.0581685304641724,1.0052868127822876,0.008328437805175781,5.56960391998291,0.008434039540588856,0.337576749094347
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00021_98.png,0,1.0480653047561646,1.0480653047561646,1.0052846670150757,0.009715139865875244,5.660808563232422,0.009334245696663857,0.37125805776522147
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00021_99.png,0,1.0505331754684448,1.0505331754684448,1.005287766456604,0.009904146194458008,5.7900261878967285,0.009853378869593143,0.38303878695307664
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00026_95.png,0,1.171191930770874,1.171191930770874,1.005287766456604,0.00522005558013916,6.070110321044922,0.0077886213548481464,0.3806959439402148
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00026_96.png,0,1.1387203931808472,1.1387203931808472,1.005282998085022,0.004380941390991211,6.059412002563477,0.006833123508840799,0.3182040030874115
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00026_97.png,0,1.1235570907592773,1.1235570907592773,1.0053070783615112,0.004679620265960693,6.1660943031311035,0.007028329651802778,0.3130643693431226
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00026_98.png,0,1.1276494264602661,1.1276494264602661,1.0052868127822876,0.005292773246765137,6.28429651260376,0.00721903657540679,0.3394658870991492
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00026_99.png,0,1.1267849206924438,1.1267849206924438,1.00529146194458,0.005913376808166504,6.392575740814209,0.007314600516110659,0.3603010642029489
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00028_98.png,0,1.1287422180175781,1.1287422180175781,1.0053043365478516,0.005310773849487305,6.596875190734863,0.006835408043116331,0.3489641525991059
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00028_99.png,0,1.1492358446121216,1.1492358446121216,1.005286455154419,0.006438553333282471,6.6186041831970215,0.008280469104647636,0.40721269433866436
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00056_97.png,0,1.2017381191253662,1.2017381191253662,1.0053095817565918,0.004651188850402832,5.267789840698242,0.004845427814871073,0.3775540420699992
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00056_98.png,0,1.1898807287216187,1.1898807287216187,1.0053082704544067,0.004538774490356445,5.257492542266846,0.005763198249042034,0.36055621014258266
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00056_99.png,0,1.2253143787384033,1.2253143787384033,1.0053215026855469,0.0037908554077148438,5.256260871887207,0.004957118537276983,0.3771527709348628
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00066_60.png,0,1.187684416770935,1.187684416770935,1.0052742958068848,0.004574954509735107,5.9217376708984375,0.005138703156262636,0.3756165177814475
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00066_61.png,0,1.2088054418563843,1.2088054418563843,1.0052810907363892,0.00621265172958374,5.839706897735596,0.005733686964958906,0.44772256510338737
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00066_62.png,0,1.2234266996383667,1.2234266996383667,1.0052998065948486,0.005998134613037109,5.718421936035156,0.006877359002828598,0.45448870929417534
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00066_63.png,0,1.2233299016952515,1.2233299016952515,1.0052980184555054,0.005889832973480225,5.667914867401123,0.006140617653727531,0.44979471976648716
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00066_64.png,0,1.2235568761825562,1.2235568761825562,1.005292296409607,0.006210505962371826,5.614270210266113,0.005512905772775412,0.45860830696573335
