path,label,image_score,anchor_score,reconstruction_score,pixel_aggregated_score
data\BraTS2021_slice\test\good\img\00000_96.png,0,0.029272450134158134,0.029272450134158134,0.2075807750225067,2.272588014602661
data\BraTS2021_slice\test\good\img\00000_97.png,0,0.029807161539793015,0.029807161539793015,0.20833022892475128,2.335174560546875
data\BraTS2021_slice\test\good\img\00000_98.png,0,0.028700804337859154,0.028700804337859154,0.21958401799201965,2.550807476043701
data\BraTS2021_slice\test\good\img\00000_99.png,0,0.025768114253878593,0.025768114253878593,0.207795187830925,2.367927074432373
data\BraTS2021_slice\test\good\img\00011_60.png,0,0.03147805109620094,0.03147805109620094,0.20446190237998962,2.2676053047180176
data\BraTS2021_slice\test\good\img\00011_61.png,0,0.031215649098157883,0.031215649098157883,0.19218139350414276,2.125293254852295
data\BraTS2021_slice\test\good\img\00011_62.png,0,0.02948850952088833,0.02948850952088833,0.18807470798492432,2.037014961242676
data\BraTS2021_slice\test\good\img\00011_63.png,0,0.02833504043519497,0.02833504043519497,0.1835084855556488,1.9101715087890625
data\BraTS2021_slice\test\good\img\00018_60.png,0,0.03146479278802872,0.03146479278802872,0.28007015585899353,3.2992351055145264
data\BraTS2021_slice\test\good\img\00018_61.png,0,0.030332446098327637,0.030332446098327637,0.2431124746799469,2.8507068157196045
data\BraTS2021_slice\test\good\img\00018_62.png,0,0.02995576709508896,0.02995576709508896,0.23987673223018646,2.831296443939209
data\BraTS2021_slice\test\good\img\00018_63.png,0,0.03181237727403641,0.03181237727403641,0.2504951059818268,2.9513626098632812
data\BraTS2021_slice\test\good\img\00020_94.png,0,0.02038537710905075,0.02038537710905075,0.20220208168029785,2.351977586746216
data\BraTS2021_slice\test\good\img\00020_95.png,0,0.02118825539946556,0.02118825539946556,0.1931411325931549,2.1547703742980957
data\BraTS2021_slice\test\good\img\00020_96.png,0,0.022309163585305214,0.022309163585305214,0.19393330812454224,2.263627052307129
data\BraTS2021_slice\test\good\img\00020_97.png,0,0.022498058155179024,0.022498058155179024,0.19124633073806763,2.3824260234832764
data\BraTS2021_slice\test\good\img\00020_98.png,0,0.023484500125050545,0.023484500125050545,0.19448691606521606,2.3639187812805176
data\BraTS2021_slice\test\good\img\00020_99.png,0,0.02189929224550724,0.02189929224550724,0.19042961299419403,2.264252185821533
data\BraTS2021_slice\test\good\img\00021_96.png,0,0.02243969775736332,0.02243969775736332,0.12803661823272705,1.5601803064346313
data\BraTS2021_slice\test\good\img\00021_97.png,0,0.024958528578281403,0.024958528578281403,0.1380051225423813,1.6406350135803223
data\BraTS2021_slice\test\good\img\00021_98.png,0,0.02541174367070198,0.02541174367070198,0.15285056829452515,1.8085554838180542
data\BraTS2021_slice\test\good\img\00021_99.png,0,0.02719840593636036,0.02719840593636036,0.15351223945617676,1.8250987529754639
data\BraTS2021_slice\test\good\img\00026_95.png,0,0.019127292558550835,0.019127292558550835,0.20798762142658234,2.580225706100464
data\BraTS2021_slice\test\good\img\00026_96.png,0,0.02172028459608555,0.02172028459608555,0.2236778885126114,2.7835593223571777
data\BraTS2021_slice\test\good\img\00026_97.png,0,0.02467753365635872,0.02467753365635872,0.23652280867099762,2.927417516708374
data\BraTS2021_slice\test\good\img\00026_98.png,0,0.023959388956427574,0.023959388956427574,0.22669284045696259,2.749739408493042
data\BraTS2021_slice\test\good\img\00026_99.png,0,0.025988077744841576,0.025988077744841576,0.22667303681373596,2.7881710529327393
data\BraTS2021_slice\test\good\img\00028_98.png,0,0.020318016409873962,0.020318016409873962,0.20338399708271027,2.561328649520874
data\BraTS2021_slice\test\good\img\00028_99.png,0,0.022850310429930687,0.022850310429930687,0.19843065738677979,2.483215570449829
data\BraTS2021_slice\test\good\img\00056_97.png,0,0.015784403309226036,0.015784403309226036,0.15897440910339355,1.77195405960083
data\BraTS2021_slice\test\good\img\00056_98.png,0,0.014834431000053883,0.014834431000053883,0.15653319656848907,1.7713682651519775
data\BraTS2021_slice\test\good\img\00056_99.png,0,0.013416632078588009,0.013416632078588009,0.15781892836093903,1.7723701000213623
data\BraTS2021_slice\test\good\img\00066_60.png,0,0.024526109918951988,0.024526109918951988,0.2705766558647156,2.818483591079712
data\BraTS2021_slice\test\good\img\00066_61.png,0,0.02562429942190647,0.02562429942190647,0.2611255645751953,2.6220197677612305
data\BraTS2021_slice\test\good\img\00066_62.png,0,0.02342732436954975,0.02342732436954975,0.2667340636253357,2.8466503620147705
data\BraTS2021_slice\test\good\img\00066_63.png,0,0.021030131727457047,0.021030131727457047,0.30787330865859985,3.4748787879943848
data\BraTS2021_slice\test\good\img\00066_64.png,0,0.0223211832344532,0.0223211832344532,0.26184022426605225,2.88820743560791
data\BraTS2021_slice\test\good\img\00072_96.png,0,0.026315143331885338,0.026315143331885338,0.1887234002351761,2.5764012336730957
data\BraTS2021_slice\test\good\img\00072_97.png,0,0.02351367101073265,0.02351367101073265,0.1903570294380188,2.627737283706665
data\BraTS2021_slice\test\good\img\00072_98.png,0,0.024720970541238785,0.024720970541238785,0.18918773531913757,2.585831880569458
data\BraTS2021_slice\test\good\img\00072_99.png,0,0.026532817631959915,0.026532817631959915,0.19019998610019684,2.591261148452759
data\BraTS2021_slice\test\good\img\00078_60.png,0,0.02479560300707817,0.02479560300707817,0.2108517736196518,2.3284146785736084
data\BraTS2021_slice\test\good\img\00078_61.png,0,0.02228911593556404,0.02228911593556404,0.2072203904390335,2.30859637260437
data\BraTS2021_slice\test\good\img\00078_62.png,0,0.021931927651166916,0.021931927651166916,0.20983056724071503,2.3515727519989014
data\BraTS2021_slice\test\good\img\00078_63.png,0,0.021525949239730835,0.021525949239730835,0.23834583163261414,2.7656946182250977
data\BraTS2021_slice\test\good\img\00078_64.png,0,0.022941425442695618,0.022941425442695618,0.23621252179145813,2.6538710594177246
data\BraTS2021_slice\test\good\img\00078_65.png,0,0.0227129515260458,0.0227129515260458,0.22526440024375916,2.593649387359619
data\BraTS2021_slice\test\good\img\00085_60.png,0,0.022855527698993683,0.022855527698993683,0.2513684928417206,2.9862542152404785
data\BraTS2021_slice\test\good\img\00085_61.png,0,0.022722136229276657,0.022722136229276657,0.23080788552761078,2.6828250885009766
data\BraTS2021_slice\test\good\img\00085_62.png,0,0.02672196924686432,0.02672196924686432,0.22498677670955658,2.6062450408935547
data\BraTS2021_slice\test\good\img\00085_63.png,0,0.027150150388479233,0.027150150388479233,0.22510407865047455,2.6394717693328857
data\BraTS2021_slice\test\good\img\00085_64.png,0,0.025402359664440155,0.025402359664440155,0.242095947265625,2.821575403213501
data\BraTS2021_slice\test\good\img\00089_60.png,0,0.017593376338481903,0.017593376338481903,0.22733014822006226,2.6232571601867676
data\BraTS2021_slice\test\good\img\00089_61.png,0,0.018775032833218575,0.018775032833218575,0.21261322498321533,2.4993245601654053
data\BraTS2021_slice\test\good\img\00118_62.png,0,0.02301923744380474,0.02301923744380474,0.16858956217765808,2.046671152114868
data\BraTS2021_slice\test\good\img\00118_63.png,0,0.023392952978610992,0.023392952978610992,0.15327829122543335,1.8605170249938965
data\BraTS2021_slice\test\good\img\00118_64.png,0,0.023621156811714172,0.023621156811714172,0.15191306173801422,1.9220616817474365
data\BraTS2021_slice\test\good\img\00118_65.png,0,0.023145766928792,0.023145766928792,0.14480940997600555,1.885655403137207
data\BraTS2021_slice\test\good\img\00118_68.png,0,0.021877506747841835,0.021877506747841835,0.193466916680336,2.4109387397766113
data\BraTS2021_slice\test\good\img\00139_95.png,0,0.015363411046564579,0.015363411046564579,0.12155144661664963,1.6246193647384644
data\BraTS2021_slice\test\good\img\00139_96.png,0,0.01564406231045723,0.01564406231045723,0.11743701994419098,1.5654836893081665
data\BraTS2021_slice\test\good\img\00139_97.png,0,0.017285777255892754,0.017285777255892754,0.10495588183403015,1.3952363729476929
data\BraTS2021_slice\test\good\img\00139_98.png,0,0.01691279746592045,0.01691279746592045,0.10677576065063477,1.440138578414917
data\BraTS2021_slice\test\good\img\00139_99.png,0,0.0170811228454113,0.0170811228454113,0.10120800137519836,1.3534586429595947
data\BraTS2021_slice\test\good\img\00140_60.png,0,0.02206469513475895,0.02206469513475895,0.13547344505786896,1.7251862287521362
data\BraTS2021_slice\test\good\img\00140_61.png,0,0.021464945748448372,0.021464945748448372,0.10521002858877182,1.3657565116882324
data\BraTS2021_slice\test\good\img\00146_60.png,0,0.022144241258502007,0.022144241258502007,0.16731759905815125,2.164994239807129
data\BraTS2021_slice\test\good\img\00146_61.png,0,0.02082792855799198,0.02082792855799198,0.16998842358589172,2.210329294204712
data\BraTS2021_slice\test\good\img\00146_62.png,0,0.021876145154237747,0.021876145154237747,0.16187329590320587,2.0699822902679443
data\BraTS2021_slice\test\good\img\00146_63.png,0,0.022078197449445724,0.022078197449445724,0.15006430447101593,1.8947621583938599
data\BraTS2021_slice\test\good\img\00166_60.png,0,0.020167848095297813,0.020167848095297813,0.1144605204463005,1.3830934762954712
data\BraTS2021_slice\test\good\img\00166_61.png,0,0.01974220760166645,0.01974220760166645,0.11644340306520462,1.4215797185897827
data\BraTS2021_slice\test\good\img\00166_62.png,0,0.02293103002011776,0.02293103002011776,0.11028164625167847,1.395653247833252
data\BraTS2021_slice\test\good\img\00166_63.png,0,0.021368930116295815,0.021368930116295815,0.10885782539844513,1.3824348449707031
data\BraTS2021_slice\test\good\img\00166_64.png,0,0.020944932475686073,0.020944932475686073,0.11756263673305511,1.5035336017608643
data\BraTS2021_slice\test\good\img\00166_65.png,0,0.020859384909272194,0.020859384909272194,0.1144065335392952,1.472590446472168
data\BraTS2021_slice\test\good\img\00186_60.png,0,0.02889123558998108,0.02889123558998108,0.33177441358566284,3.3390238285064697
data\BraTS2021_slice\test\good\img\00186_61.png,0,0.027917563915252686,0.027917563915252686,0.3074198365211487,3.1337175369262695
data\BraTS2021_slice\test\good\img\00186_62.png,0,0.02554742433130741,0.02554742433130741,0.3199147880077362,3.214369773864746
data\BraTS2021_slice\test\good\img\00186_63.png,0,0.025295373052358627,0.025295373052358627,0.31713858246803284,3.2073941230773926
data\BraTS2021_slice\test\good\img\00204_60.png,0,0.029666854068636894,0.029666854068636894,0.20554044842720032,2.2837345600128174
