path,label,solution_a_reproject_k1_1__raw,solution_a_reproject_k1_1__norm,reproject_k256_early__raw,reproject_k256_early__norm,reproject_k1024_early__raw,reproject_k1024_early__norm,ensemble_score
data\BraTS2021_slice\test\good\img\00000_96.png,0,0.59159255027771,0.38745288099084546,0.4030368328094482,0.11335487345180398,0.427116334438324,0.2905223478729133,0.2637767007718542
data\BraTS2021_slice\test\good\img\00000_97.png,0,0.5844196081161499,0.3508346795907378,0.3710634708404541,0.04254173397953689,0.3935606777667999,0.1260096930533118,0.17312870220786214
data\BraTS2021_slice\test\good\img\00000_98.png,0,0.617652177810669,0.5183091007000539,0.3640139102935791,0.033117932148626815,0.3805976212024688,0.08723747980613894,0.2128881708849399
data\BraTS2021_slice\test\good\img\00000_99.png,0,0.6412764191627502,0.6311254711900915,0.4660885035991668,0.4079159935379645,0.4010323882102966,0.16101238556812061,0.40001795009872554
data\BraTS2021_slice\test\good\img\00011_60.png,0,0.5324957370758057,0.14028002154011848,0.4402441084384918,0.26386645126548197,0.4402439594268799,0.3672590199246096,0.2571351642434033
data\BraTS2021_slice\test\good\img\00011_61.png,0,0.5645598769187927,0.25740441572428646,0.5054208636283875,0.6200861604738827,0.4763888716697693,0.5780829294561121,0.485191168551427
data\BraTS2021_slice\test\good\img\00011_62.png,0,0.5363240838050842,0.14916532040926225,0.4705519080162048,0.4324178782983306,0.4428325891494751,0.3807215939687668,0.32076826422545324
data\BraTS2021_slice\test\good\img\00011_63.png,0,0.5399943590164185,0.16182014001077005,0.4899676740169525,0.537156704361874,0.4829623699188232,0.6141626278944534,0.43771315742236583
data\BraTS2021_slice\test\good\img\00018_60.png,0,0.7415375113487244,0.9418416801292407,0.525007426738739,0.7116316639741519,0.5250072479248047,0.8171782444803446,0.8235505295279123
data\BraTS2021_slice\test\good\img\00018_61.png,0,0.7232388854026794,0.9119547657512116,0.5457670092582703,0.8058696822832525,0.5457667708396912,0.8815293484114163,0.86645126548196
data\BraTS2021_slice\test\good\img\00018_62.png,0,0.6519238352775574,0.6771674744211094,0.5639021396636963,0.8621432417878299,0.5316468477249146,0.8408723747980614,0.7933943636690002
data\BraTS2021_slice\test\good\img\00018_63.png,0,0.6512939929962158,0.6739364566505116,0.5634000301361084,0.8613354873451804,0.5634000897407532,0.9224555735056543,0.8192425058337821
data\BraTS2021_slice\test\good\img\00020_94.png,0,0.6321974992752075,0.5885837372105547,0.4232533276081085,0.1890145395799677,0.4313727915287018,0.31179321486268174,0.3631304972177347
data\BraTS2021_slice\test\good\img\00020_95.png,0,0.6508751511573792,0.6720516962843296,0.4801490008831024,0.4857296715131933,0.4635239243507385,0.5045772751750135,0.554119547657512
data\BraTS2021_slice\test\good\img\00020_96.png,0,0.6354742050170898,0.6023155627355951,0.4534357786178589,0.3325255788906839,0.4563007354736328,0.46445880452342486,0.46643331538323457
data\BraTS2021_slice\test\good\img\00020_97.png,0,0.6158369779586792,0.5113085621970921,0.4581621885299682,0.3632202477113624,0.3987093865871429,0.1494345718901454,0.34132112726619995
data\BraTS2021_slice\test\good\img\00020_98.png,0,0.5829629302024841,0.3430263866451265,0.4300881326198578,0.21567043618739903,0.3390074372291565,0.01615508885298869,0.1916173038951714
data\BraTS2021_slice\test\good\img\00020_99.png,0,0.5460206270217896,0.18470651588583736,0.4328037798404693,0.2294022617124394,0.3473411500453949,0.025309639203015617,0.1464728056004308
data\BraTS2021_slice\test\good\img\00021_96.png,0,0.5976304411888123,0.41518578352180935,0.3753952383995056,0.05196553581044696,0.3668787777423858,0.055196553581044694,0.174115957637767
data\BraTS2021_slice\test\good\img\00021_97.png,0,0.5574811100959778,0.2275175013462574,0.4109050035476684,0.13974151857835218,0.3793288469314575,0.08373721055465805,0.15033207682642255
data\BraTS2021_slice\test\good\img\00021_98.png,0,0.5064688920974731,0.07996768982229402,0.4036603569984436,0.11550888529886914,0.3898177444934845,0.11308562197092084,0.10285406569736133
data\BraTS2021_slice\test\good\img\00021_99.png,0,0.5095357894897461,0.08616047388260635,0.4066666960716247,0.12574044157242864,0.4066667556762695,0.18389876144318792,0.13193322563274096
data\BraTS2021_slice\test\good\img\00026_95.png,0,0.5925628542900085,0.3912224017232095,0.420412927865982,0.17689822294022617,0.3678269982337951,0.05708131394722671,0.2084006462035541
data\BraTS2021_slice\test\good\img\00026_96.png,0,0.5973397493362427,0.4135702746365105,0.4264626502990722,0.20032310177705978,0.3546854853630066,0.03527194399569197,0.21638844013642075
data\BraTS2021_slice\test\good\img\00026_97.png,0,0.6140026450157166,0.5040387722132472,0.47868412733078,0.4763058696822833,0.4133159518241882,0.2148626817447496,0.3984024412134267
data\BraTS2021_slice\test\good\img\00026_98.png,0,0.5621128678321838,0.2460958535271944,0.3666971027851105,0.03796445880452343,0.3297554552555084,0.011308562197092083,0.0984562915096033
data\BraTS2021_slice\test\good\img\00026_99.png,0,0.5876544713973999,0.36645126548196016,0.3170810639858246,0.0045772751750134625,0.3216672837734222,0.007000538502961767,0.1260096930533118
data\BraTS2021_slice\test\good\img\00028_98.png,0,0.5487063527107239,0.19413031771674744,0.3921045064926147,0.0815831987075929,0.3598975539207458,0.04361873990306947,0.10644408544246993
data\BraTS2021_slice\test\good\img\00028_99.png,0,0.5437062978744507,0.17662897145934303,0.4214162230491638,0.1806677436725902,0.3753249943256378,0.07189014539579967,0.14306228684257763
data\BraTS2021_slice\test\good\img\00056_97.png,0,0.714333713054657,0.8858373721055466,0.3714515268802643,0.043887991383952614,0.3783819079399109,0.08104469574582661,0.33692335307844196
data\BraTS2021_slice\test\good\img\00056_98.png,0,0.6928669810295105,0.825255788906839,0.3460541665554046,0.017770597738287562,0.3520417213439941,0.030694668820678513,0.291240351821935
data\BraTS2021_slice\test\good\img\00056_99.png,0,0.7017078995704651,0.8532579429186861,0.3629347383975982,0.031233171782444804,0.3898456394672394,0.11335487345180398,0.3326153293843116
data\BraTS2021_slice\test\good\img\00066_60.png,0,0.6855615973472595,0.8010231556273559,0.4772523939609527,0.46607431340872374,0.4772522747516632,0.5842757135164244,0.617124394184168
data\BraTS2021_slice\test\good\img\00066_61.png,0,0.7254236936569214,0.9159935379644588,0.4674647152423858,0.41787829833064083,0.4674645960330963,0.5285406569736134,0.6208041644229043
data\BraTS2021_slice\test\good\img\00066_62.png,0,0.6722778677940369,0.7549811523963382,0.4362971186637878,0.24501884760366183,0.4362969994544983,0.3446418955304254,0.44821396517680845
data\BraTS2021_slice\test\good\img\00066_63.png,0,0.6454512476921082,0.650511577813678,0.4423618018627167,0.27409800753904145,0.4277366697788238,0.29509962304792675,0.4065697361335487
data\BraTS2021_slice\test\good\img\00066_64.png,0,0.681699812412262,0.7859450726978998,0.4273275732994079,0.20382337102854065,0.4326842725276947,0.3209477652127087,0.43690540297971636
