path,label,image_score,anchor_score,pixel_aggregated_score
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00000_96.png,0,0.39786240458488464,0.39786240458488464,0.39786240458488464
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00000_97.png,0,0.39521339535713196,0.39521339535713196,0.39521339535713196
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00000_98.png,0,0.39902281761169434,0.39902281761169434,0.39902281761169434
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00000_99.png,0,0.4143022298812866,0.4143022298812866,0.4143022298812866
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00011_60.png,0,0.43887460231781006,0.43887460231781006,0.43887460231781006
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00011_61.png,0,0.44704851508140564,0.44704851508140564,0.44704851508140564
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00011_62.png,0,0.43614572286605835,0.43614572286605835,0.43614572286605835
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00011_63.png,0,0.44329506158828735,0.44329506158828735,0.44329506158828735
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00018_60.png,0,0.4867771565914154,0.4867771565914154,0.4867771565914154
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00018_61.png,0,0.48773878812789917,0.48773878812789917,0.48773878812789917
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00018_62.png,0,0.5011325478553772,0.5011325478553772,0.5011325478553772
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00018_63.png,0,0.509588360786438,0.509588360786438,0.509588360786438
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00020_94.png,0,0.43167704343795776,0.43167704343795776,0.43167704343795776
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00020_95.png,0,0.46188417077064514,0.46188417077064514,0.46188417077064514
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00020_96.png,0,0.41534194350242615,0.41534194350242615,0.41534194350242615
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00020_97.png,0,0.40696993470191956,0.40696993470191956,0.40696993470191956
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00020_98.png,0,0.3979039788246155,0.3979039788246155,0.3979039788246155
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00020_99.png,0,0.4074591100215912,0.4074591100215912,0.4074591100215912
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00021_96.png,0,0.4008786976337433,0.4008786976337433,0.4008786976337433
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00021_97.png,0,0.40634554624557495,0.40634554624557495,0.40634554624557495
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00021_98.png,0,0.39244383573532104,0.39244383573532104,0.39244383573532104
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00021_99.png,0,0.3923881947994232,0.3923881947994232,0.3923881947994232
D:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00026_95.png,0,0.3579629063606262,0.3579629063606262,0.3579629063606262
